iter	Passed	Remaining
0	8	17060
1	18	18463
2	25	17113
3	34	17377
4	41	16635
5	49	16318
6	58	16554
7	63	15797
8	68	15110
9	73	14614
10	79	14289
11	84	13949
12	89	13660
13	95	13535
14	100	13294
15	109	13563
16	117	13678
17	131	14425
18	137	14334
19	144	14335
20	157	14867
21	168	15181
22	175	15111
23	183	15103
24	191	15141
25	201	15295
26	211	15434
27	222	15638
28	231	15711
29	240	15806
30	249	15848
31	257	15859
32	264	15759
33	270	15644
34	276	15525
35	283	15487
36	296	15754
37	306	15811
38	317	15951
39	329	16156
40	342	16347
41	354	16526
42	360	16419
43	366	16303
44	373	16215
45	379	16118
46	386	16062
47	392	15959
48	412	16433
49	423	16510
50	439	16787
51	446	16720
52	452	16625
53	459	16543
54	465	16461
55	470	16344
56	476	16258
57	485	16240
58	497	16358
59	513	16606
60	523	16644
61	533	16685
62	540	16632
63	551	16686
64	564	16792
65	574	16848
66	586	16931
67	599	17041
68	608	17027
69	617	17026
70	627	17045
71	639	17136
72	649	17155
73	660	17191
74	671	17222
75	681	17262
76	693	17322
77	707	17434
78	717	17452
79	725	17414
80	738	17485
81	750	17553
82	764	17647
83	774	17664
84	782	17623
85	793	17658
86	803	17669
87	811	17637
88	820	17613
89	830	17620
90	842	17669
91	853	17692
92	866	17772
93	881	17871
94	899	18028
95	907	18000
96	918	18013
97	932	18107
98	939	18047
99	946	17990
100	953	17919
101	959	17853
102	965	17785
103	973	17752
104	984	17768
105	992	17734
106	1001	17716
107	1008	17661
108	1014	17604
109	1025	17623
110	1039	17685
111	1055	17796
112	1067	17824
113	1078	17849
114	1088	17837
115	1098	17842
116	1108	17836
117	1115	17796
118	1124	17774
119	1134	17777
120	1144	17771
121	1155	17784
122	1167	17814
123	1182	17892
124	1190	17860
125	1199	17842
126	1210	17848
127	1219	17836
128	1232	17878
129	1244	17898
130	1255	17918
131	1267	17931
132	1276	17922
133	1290	17967
134	1306	18052
135	1319	18083
136	1329	18080
137	1339	18075
138	1348	18049
139	1357	18038
140	1368	18048
141	1373	17967
142	1382	17947
143	1395	17991
144	1407	18002
145	1414	17968
146	1421	17920
147	1428	17871
148	1434	17824
149	1444	17821
150	1472	18035
151	1488	18095
152	1495	18054
153	1502	18008
154	1509	17969
155	1515	17917
156	1521	17865
157	1528	17814
158	1534	17767
159	1540	17720
160	1547	17672
161	1562	17728
162	1573	17733
163	1586	17757
164	1606	17870
165	1617	17865
166	1628	17879
167	1639	17880
168	1648	17860
169	1659	17861
170	1668	17840
171	1683	17894
172	1696	17919
173	1706	17906
174	1717	17910
175	1728	17918
176	1737	17893
177	1746	17875
178	1757	17880
179	1764	17844
180	1776	17850
181	1786	17846
182	1798	17854
183	1808	17851
184	1820	17858
185	1829	17841
186	1839	17832
187	1846	17801
188	1860	17823
189	1868	17799
190	1877	17784
191	1885	17757
192	1895	17746
193	1908	17762
194	1916	17740
195	1927	17742
196	1934	17704
197	1940	17658
198	1946	17619
199	1952	17575
200	1959	17533
201	1965	17494
202	1971	17453
203	1981	17443
204	1988	17408
205	1993	17359
206	1998	17313
207	2005	17280
208	2012	17242
209	2018	17205
210	2024	17168
211	2032	17145
212	2042	17134
213	2051	17121
214	2061	17114
215	2076	17149
216	2088	17162
217	2100	17172
218	2111	17172
219	2120	17156
220	2136	17201
221	2146	17190
222	2154	17166
223	2165	17171
224	2176	17173
225	2186	17165
226	2202	17204
227	2216	17229
228	2224	17204
229	2239	17237
230	2248	17220
231	2262	17239
232	2275	17256
233	2295	17320
234	2305	17315
235	2314	17303
236	2324	17288
237	2338	17311
238	2351	17327
239	2360	17310
240	2367	17276
241	2373	17241
242	2380	17209
243	2386	17174
244	2392	17138
245	2398	17102
246	2404	17066
247	2410	17031
248	2417	16998
249	2424	16970
250	2433	16957
251	2444	16959
252	2451	16927
253	2458	16902
254	2466	16876
255	2474	16856
256	2483	16845
257	2490	16814
258	2503	16829
259	2513	16819
260	2526	16834
261	2537	16835
262	2545	16809
263	2559	16832
264	2570	16828
265	2578	16811
266	2587	16793
267	2601	16811
268	2611	16803
269	2619	16785
270	2633	16803
271	2643	16796
272	2653	16783
273	2666	16797
274	2677	16795
275	2688	16792
276	2700	16796
277	2709	16782
278	2716	16755
279	2726	16750
280	2736	16738
281	2743	16710
282	2749	16681
283	2755	16652
284	2762	16624
285	2769	16596
286	2781	16599
287	2788	16578
288	2797	16560
289	2810	16573
290	2822	16573
291	2830	16554
292	2837	16532
293	2848	16530
294	2856	16509
295	2867	16509
296	2878	16503
297	2888	16495
298	2901	16505
299	2911	16496
300	2919	16479
301	2928	16463
302	2936	16448
303	2950	16462
304	2959	16446
305	2967	16428
306	2977	16417
307	2993	16446
308	3003	16437
309	3012	16424
310	3020	16405
311	3029	16392
312	3039	16380
313	3047	16365
314	3057	16353
315	3066	16342
316	3077	16337
317	3088	16333
318	3099	16334
319	3109	16325
320	3116	16298
321	3122	16270
322	3128	16243
323	3135	16217
324	3141	16193
325	3147	16162
326	3154	16138
327	3161	16115
328	3169	16096
329	3178	16082
330	3188	16075
331	3195	16053
332	3203	16036
333	3212	16024
334	3228	16043
335	3234	16018
336	3240	15993
337	3247	15969
338	3253	15940
339	3260	15918
340	3266	15892
341	3272	15867
342	3283	15861
343	3295	15863
344	3306	15860
345	3319	15866
346	3330	15867
347	3342	15865
348	3351	15853
349	3362	15850
350	3371	15838
351	3382	15836
352	3396	15849
353	3408	15849
354	3423	15862
355	3435	15865
356	3445	15855
357	3460	15873
358	3472	15872
359	3481	15860
360	3493	15860
361	3501	15844
362	3513	15844
363	3521	15825
364	3531	15818
365	3543	15818
366	3554	15817
367	3561	15796
368	3568	15774
369	3574	15747
370	3581	15723
371	3586	15697
372	3592	15672
373	3598	15646
374	3605	15623
375	3612	15602
376	3635	15649
377	3647	15652
378	3661	15662
379	3678	15683
380	3695	15705
381	3708	15706
382	3721	15710
383	3738	15732
384	3745	15710
385	3750	15681
386	3757	15659
387	3763	15636
388	3769	15609
389	3775	15587
390	3781	15562
391	3789	15545
392	3797	15527
393	3810	15533
394	3825	15545
395	3833	15527
396	3842	15515
397	3852	15504
398	3862	15496
399	3872	15489
400	3881	15478
401	3894	15482
402	3903	15469
403	3912	15457
404	3920	15438
405	3929	15428
406	3937	15412
407	3947	15404
408	3960	15405
409	3968	15391
410	3980	15388
411	3994	15394
412	4003	15385
413	4014	15378
414	4026	15378
415	4032	15356
416	4042	15347
417	4054	15343
418	4065	15341
419	4072	15321
420	4078	15297
421	4085	15277
422	4091	15254
423	4098	15232
424	4104	15210
425	4110	15188
426	4118	15172
427	4126	15156
428	4136	15149
429	4144	15131
430	4153	15119
431	4165	15119
432	4177	15119
433	4188	15112
434	4196	15097
435	4209	15101
436	4222	15102
437	4232	15095
438	4242	15086
439	4256	15091
440	4268	15090
441	4277	15077
442	4290	15080
443	4302	15077
444	4316	15083
445	4323	15064
446	4329	15040
447	4335	15021
448	4343	15002
449	4349	14982
450	4355	14960
451	4364	14946
452	4377	14950
453	4386	14935
454	4397	14932
455	4409	14929
456	4427	14948
457	4437	14939
458	4449	14938
459	4456	14919
460	4463	14899
461	4469	14879
462	4476	14861
463	4486	14852
464	4493	14833
465	4499	14810
466	4505	14789
467	4512	14770
468	4517	14747
469	4527	14738
470	4540	14741
471	4552	14738
472	4570	14756
473	4584	14758
474	4594	14751
475	4606	14749
476	4616	14738
477	4625	14727
478	4639	14733
479	4657	14750
480	4672	14754
481	4685	14755
482	4697	14752
483	4712	14759
484	4725	14760
485	4735	14753
486	4746	14746
487	4761	14752
488	4772	14747
489	4789	14758
490	4807	14773
491	4817	14765
492	4831	14768
493	4838	14751
494	4851	14750
495	4860	14739
496	4876	14748
497	4885	14734
498	4897	14731
499	4910	14731
500	4924	14735
501	4940	14741
502	4951	14735
503	4966	14740
504	4978	14739
505	4988	14727
506	4998	14720
507	5006	14704
508	5021	14708
509	5034	14708
510	5045	14700
511	5056	14694
512	5065	14683
513	5074	14670
514	5088	14672
515	5103	14676
516	5115	14673
517	5123	14659
518	5135	14654
519	5147	14649
520	5160	14650
521	5172	14645
522	5187	14650
523	5196	14637
524	5212	14645
525	5225	14643
526	5240	14647
527	5250	14638
528	5258	14623
529	5273	14626
530	5281	14610
531	5292	14603
532	5301	14590
533	5314	14590
534	5326	14585
535	5340	14586
536	5351	14578
537	5362	14571
538	5372	14562
539	5381	14549
540	5393	14545
541	5403	14535
542	5413	14524
543	5424	14519
544	5440	14525
545	5451	14516
546	5460	14503
547	5474	14504
548	5488	14505
549	5503	14509
550	5512	14495
551	5523	14488
552	5532	14475
553	5538	14455
554	5545	14437
555	5551	14419
556	5558	14399
557	5564	14380
558	5570	14360
559	5577	14341
560	5583	14321
561	5590	14305
562	5603	14302
563	5612	14290
564	5624	14284
565	5638	14284
566	5654	14291
567	5667	14288
568	5680	14286
569	5694	14285
570	5704	14276
571	5718	14276
572	5725	14259
573	5732	14241
574	5740	14225
575	5747	14209
576	5756	14195
577	5778	14217
578	5787	14204
579	5805	14214
580	5820	14215
581	5831	14208
582	5849	14217
583	5861	14212
584	5871	14201
585	5884	14199
586	5893	14186
587	5905	14181
588	5914	14167
589	5932	14178
590	5944	14172
591	5954	14162
592	5966	14157
593	5980	14155
594	5990	14145
595	6000	14134
596	6009	14123
597	6023	14121
598	6035	14116
599	6044	14104
600	6056	14097
601	6069	14094
602	6079	14085
603	6092	14080
604	6104	14074
605	6113	14062
606	6121	14047
607	6129	14032
608	6139	14023
609	6150	14015
610	6164	14013
611	6173	14001
612	6186	13998
613	6199	13995
614	6209	13984
615	6220	13977
616	6227	13958
617	6234	13941
618	6240	13922
619	6246	13904
620	6253	13886
621	6260	13868
622	6267	13851
623	6276	13840
624	6285	13828
625	6295	13817
626	6300	13797
627	6311	13787
628	6324	13784
629	6332	13771
630	6340	13756
631	6348	13741
632	6355	13724
633	6361	13706
634	6371	13695
635	6380	13684
636	6389	13671
637	6398	13660
638	6409	13652
639	6425	13653
640	6431	13636
641	6444	13632
642	6457	13628
643	6469	13621
644	6481	13615
645	6488	13600
646	6504	13601
647	6516	13596
648	6529	13592
649	6538	13580
650	6547	13567
651	6561	13565
652	6570	13552
653	6581	13546
654	6590	13533
655	6602	13528
656	6618	13528
657	6629	13520
658	6647	13525
659	6655	13513
660	6665	13501
661	6679	13500
662	6689	13489
663	6702	13485
664	6715	13481
665	6723	13466
666	6729	13449
667	6740	13441
668	6754	13439
669	6770	13439
670	6777	13423
671	6787	13414
672	6798	13405
673	6811	13401
674	6824	13397
675	6837	13391
676	6848	13383
677	6859	13374
678	6872	13369
679	6880	13355
680	6891	13347
681	6900	13334
682	6914	13332
683	6931	13336
684	6942	13328
685	6954	13320
686	6963	13309
687	6972	13295
688	6979	13279
689	6987	13266
690	6997	13255
691	7009	13248
692	7020	13240
693	7034	13236
694	7043	13226
695	7054	13216
696	7061	13200
697	7069	13187
698	7079	13177
699	7089	13166
700	7099	13155
701	7107	13142
702	7119	13134
703	7126	13118
704	7132	13101
705	7138	13084
706	7144	13067
707	7150	13049
708	7156	13031
709	7162	13014
710	7171	13000
711	7182	12992
712	7191	12981
713	7197	12964
714	7204	12947
715	7210	12930
716	7216	12913
717	7222	12895
718	7228	12879
719	7234	12862
720	7241	12845
721	7251	12834
722	7263	12828
723	7270	12813
724	7278	12800
725	7288	12789
726	7298	12780
727	7306	12766
728	7316	12756
729	7326	12745
730	7332	12729
731	7339	12713
732	7349	12703
733	7355	12687
734	7362	12671
735	7369	12656
736	7375	12640
737	7381	12622
738	7388	12606
739	7394	12590
740	7400	12573
741	7410	12563
742	7419	12552
743	7425	12536
744	7432	12520
745	7438	12503
746	7445	12488
747	7454	12476
748	7464	12466
749	7480	12467
750	7489	12456
751	7503	12452
752	7514	12444
753	7520	12428
754	7527	12412
755	7534	12398
756	7540	12382
757	7547	12366
758	7553	12350
759	7559	12334
760	7566	12319
761	7573	12304
762	7579	12288
763	7589	12279
764	7601	12271
765	7607	12254
766	7614	12240
767	7620	12224
768	7627	12210
769	7633	12194
770	7640	12178
771	7646	12163
772	7655	12151
773	7667	12144
774	7675	12132
775	7688	12126
776	7694	12110
777	7706	12104
778	7715	12092
779	7726	12085
780	7735	12073
781	7744	12061
782	7752	12048
783	7762	12040
784	7783	12046
785	7797	12043
786	7809	12036
787	7821	12030
788	7833	12022
789	7846	12017
790	7859	12013
791	7870	12004
792	7881	11996
793	7891	11986
794	7908	11987
795	7916	11973
796	7928	11967
797	7940	11960
798	7950	11950
799	7958	11937
800	7968	11928
801	7979	11920
802	7990	11910
803	8001	11903
804	8010	11890
805	8016	11876
806	8023	11860
807	8029	11845
808	8035	11830
809	8041	11814
810	8047	11799
811	8054	11783
812	8061	11770
813	8078	11770
814	8087	11759
815	8100	11754
816	8114	11749
817	8123	11738
818	8131	11725
819	8140	11714
820	8152	11707
821	8162	11697
822	8172	11688
823	8185	11681
824	8197	11675
825	8204	11660
826	8210	11645
827	8217	11630
828	8224	11617
829	8231	11603
830	8237	11588
831	8244	11573
832	8251	11560
833	8256	11543
834	8264	11530
835	8273	11519
836	8284	11510
837	8294	11501
838	8305	11492
839	8318	11487
840	8324	11472
841	8332	11460
842	8340	11447
843	8346	11432
844	8357	11423
845	8367	11413
846	8380	11408
847	8389	11397
848	8399	11387
849	8410	11379
850	8418	11366
851	8430	11359
852	8438	11347
853	8448	11336
854	8455	11323
855	8467	11316
856	8476	11305
857	8487	11296
858	8497	11287
859	8505	11274
860	8513	11262
861	8522	11251
862	8534	11243
863	8542	11231
864	8554	11224
865	8567	11218
866	8576	11207
867	8585	11196
868	8597	11189
869	8607	11179
870	8620	11174
871	8638	11174
872	8643	11158
873	8656	11152
874	8673	11151
875	8680	11137
876	8688	11125
877	8694	11111
878	8702	11098
879	8714	11091
880	8722	11079
881	8730	11066
882	8739	11056
883	8751	11048
884	8760	11037
885	8771	11028
886	8784	11022
887	8792	11010
888	8803	11001
889	8807	10984
890	8816	10974
891	8827	10965
892	8838	10957
893	8845	10943
894	8851	10928
895	8857	10913
896	8863	10899
897	8869	10884
898	8878	10873
899	8887	10861
900	8898	10854
901	8907	10842
902	8919	10836
903	8933	10830
904	8940	10817
905	8949	10806
906	8959	10796
907	8968	10785
908	8976	10773
909	8987	10765
910	9001	10759
911	9015	10755
912	9024	10744
913	9038	10738
914	9047	10728
915	9059	10721
916	9070	10712
917	9079	10701
918	9089	10691
919	9096	10678
920	9104	10666
921	9114	10656
922	9124	10646
923	9134	10637
924	9141	10623
925	9149	10611
926	9158	10601
927	9166	10589
928	9171	10573
929	9181	10563
930	9192	10554
931	9202	10545
932	9212	10535
933	9223	10526
934	9237	10521
935	9246	10511
936	9258	10503
937	9265	10490
938	9277	10482
939	9286	10472
940	9297	10463
941	9308	10455
942	9315	10441
943	9330	10437
944	9336	10423
945	9343	10409
946	9349	10395
947	9355	10382
948	9362	10368
949	9369	10355
950	9375	10341
951	9381	10327
952	9389	10316
953	9396	10302
