iter	RMSE
0	2.685190759
1	2.564209453
2	2.449163418
3	2.341865613
4	2.240083712
5	2.143321488
6	2.050747792
7	1.962924471
8	1.878639921
9	1.805483577
10	1.731473059
11	1.662395645
12	1.594075446
13	1.531395936
14	1.468883246
15	1.413339711
16	1.355978396
17	1.30465474
18	1.253452483
19	1.204715328
20	1.160049522
21	1.116489692
22	1.074431569
23	1.036041839
24	0.9982981294
25	0.9644438394
26	0.9317278429
27	0.9013231194
28	0.8714116757
29	0.8446942388
30	0.8183868984
31	0.7921236097
32	0.7677538443
33	0.7441383526
34	0.7222085057
35	0.7011004887
36	0.680814694
37	0.6629973883
38	0.6470748405
39	0.6304338076
40	0.6147855854
41	0.5998295751
42	0.5859273196
43	0.5737212306
44	0.5618122448
45	0.5498959209
46	0.539395954
47	0.5289527447
48	0.5187275277
49	0.5099018625
50	0.5010529961
51	0.4923157322
52	0.4847981592
53	0.4774480336
54	0.4696305963
55	0.4625988326
56	0.4560761489
57	0.4498434995
58	0.4438858738
59	0.4388252645
60	0.4333542609
61	0.428294081
62	0.4232077582
63	0.4189284824
64	0.4149343375
65	0.4106717958
66	0.4066101188
67	0.4032520352
68	0.3998298874
69	0.3967938646
70	0.3940840172
71	0.3910853566
72	0.3882860293
73	0.3850773011
74	0.3823756864
75	0.3799342504
76	0.3772269405
77	0.3748816595
78	0.3719047001
79	0.369593991
80	0.3670419377
81	0.3649299771
82	0.3624710783
83	0.3608808409
84	0.3592366194
85	0.3572436116
86	0.3551230805
87	0.3536891445
88	0.3522617639
89	0.3506515436
90	0.3496468712
91	0.3477052327
92	0.3464832833
93	0.3449728484
94	0.3438066054
95	0.3417296851
96	0.3402953174
97	0.3392053067
98	0.338332264
99	0.3373951899
100	0.335972843
101	0.3350549337
102	0.3341889909
103	0.333295016
104	0.3324817438
105	0.3317116068
106	0.3308648839
107	0.3299603171
108	0.3288263158
109	0.3279277775
110	0.327188132
111	0.3263651352
112	0.3256918015
113	0.3248809282
114	0.3239038043
115	0.3232560638
116	0.322561425
117	0.3211289377
118	0.3203301114
119	0.3196394355
120	0.3191448222
121	0.3185291507
122	0.3180152993
123	0.3173267865
124	0.316989001
125	0.3163706646
126	0.3161160177
127	0.3155065307
128	0.315069235
129	0.3144847599
130	0.3140081372
131	0.3132508943
132	0.3128850036
133	0.312139787
134	0.3118916663
135	0.3116875212
136	0.3114046519
137	0.3108590118
138	0.3102199605
139	0.3099818191
140	0.3095917583
141	0.3092826879
142	0.309029002
143	0.3085503609
144	0.3075831962
145	0.3069667488
146	0.3065169631
147	0.3061655352
148	0.3058032714
149	0.3052373998
150	0.3048358506
151	0.3046608749
152	0.3043399455
153	0.3042466422
154	0.3038811746
155	0.3034073441
156	0.3029662358
157	0.3024224759
158	0.3021536871
159	0.3017364537
160	0.3013704
161	0.3011655554
162	0.3008322899
163	0.3005974257
164	0.2998415071
165	0.2991879096
166	0.299114095
167	0.298863082
168	0.2984645353
169	0.2983207228
170	0.2980826127
171	0.297377563
172	0.2972519038
173	0.2967498636
174	0.2963025816
175	0.2961578195
176	0.296082044
177	0.2958517272
178	0.2956920993
179	0.2953889727
180	0.2949470845
181	0.2943854844
182	0.2936672505
183	0.2932186998
184	0.2928603776
185	0.2924276896
186	0.2922511887
187	0.2915918947
188	0.2914828301
189	0.2912094538
190	0.2907754374
191	0.2906331348
