iter	RMSE
0	2.68950237
1	2.562279306
2	2.444428433
3	2.331940705
4	2.222874782
5	2.121995689
6	2.025204451
7	1.932754945
8	1.84633663
9	1.765362639
10	1.686914453
11	1.612042523
12	1.541088708
13	1.474572714
14	1.411030445
15	1.351780154
16	1.294092544
17	1.239670494
18	1.187716751
19	1.138041903
20	1.091676153
21	1.047369929
22	1.005844767
23	0.9671021485
24	0.9287066239
25	0.8935274018
26	0.8600248956
27	0.8276131521
28	0.7973380922
29	0.7688491747
30	0.7414224943
31	0.7159300144
32	0.6915119836
33	0.6690486672
34	0.6480051391
35	0.6276541549
36	0.608374849
37	0.5900839534
38	0.5732614811
39	0.5575021641
40	0.5419534693
41	0.5279791737
42	0.5150669674
43	0.5025526363
44	0.4906158372
45	0.4793534022
46	0.4688991182
47	0.4583479612
48	0.449005604
49	0.4409818504
50	0.4324342701
51	0.4248348044
52	0.4181804573
53	0.4118933147
54	0.4055243975
55	0.3998435551
56	0.3943274956
57	0.388946568
58	0.3833922446
59	0.3792407531
60	0.3752011173
61	0.3713685536
62	0.367594038
63	0.3641376794
64	0.3603139584
65	0.3568599281
66	0.3538621567
67	0.3511280879
68	0.3482003894
69	0.3456677009
70	0.3429467546
71	0.3405052394
72	0.3382246264
73	0.3358565955
74	0.3340785289
75	0.3323426441
76	0.3302785336
77	0.3287084385
78	0.3270033956
79	0.3253627827
80	0.3240570857
81	0.3224634111
82	0.3208610298
83	0.3196468139
84	0.3185200435
85	0.3174257555
86	0.316372463
87	0.3153369656
88	0.3142890657
89	0.3133055602
90	0.3125521046
91	0.3118732341
92	0.3110447388
93	0.3100440044
94	0.3091563288
95	0.3078898951
96	0.3070191789
97	0.3062234305
98	0.3057407662
99	0.3048353317
100	0.3041051145
101	0.3033109667
102	0.3025336777
103	0.3019945296
104	0.3015121173
105	0.3010945682
106	0.3003237388
107	0.2998480679
108	0.2993927928
109	0.2987817457
110	0.2983263092
111	0.2976979298
112	0.29700477
113	0.2963483689
114	0.295866163
115	0.2954372012
116	0.2947122018
117	0.2938632685
118	0.2934114742
119	0.2928168437
120	0.2923387958
121	0.291749681
122	0.2914335785
123	0.2908716064
124	0.2901729747
125	0.2898540608
126	0.2893849403
127	0.2890334895
128	0.288665303
129	0.2882837404
130	0.2880103773
131	0.2874881423
132	0.2872295459
133	0.2869666572
134	0.286720211
135	0.2861848873
136	0.2857079718
137	0.2853993941
138	0.2850721234
139	0.2844910458
140	0.2841370136
141	0.2837480157
142	0.2834839375
143	0.2830971355
144	0.2827187067
145	0.2824020244
146	0.2822094151
147	0.2818710658
148	0.2816821335
149	0.2814769621
150	0.2812448848
151	0.2809441887
152	0.2807374793
153	0.2805247094
154	0.2800278408
155	0.2797853434
156	0.2794940584
157	0.279267407
158	0.279025577
159	0.2784205042
160	0.2780957526
161	0.2779281839
162	0.2775089188
163	0.2771730108
164	0.2768809484
165	0.2765896026
166	0.2764629968
167	0.2762914935
168	0.2761451093
169	0.27594926
170	0.2757386876
171	0.2754735434
172	0.2752402071
173	0.2749804165
174	0.2747910133
175	0.2746177585
176	0.2742799759
177	0.2740897127
178	0.2736628026
179	0.2733817728
180	0.2730881637
181	0.2728690951
182	0.2726560089
183	0.2722754201
184	0.2720649155
185	0.2716591963
186	0.2713656132
187	0.2709012117
188	0.2705986556
189	0.2702987986
190	0.2698144051
191	0.2696718018
192	0.2695508148
193	0.2693127647
194	0.2690844443
195	0.2689016651
196	0.2685538999
197	0.2682899222
198	0.2680384531
199	0.2678947474
200	0.2676301009
201	0.2673395959
202	0.2670488375
203	0.2669209501
204	0.2667016157
205	0.2660908772
206	0.2659549162
207	0.2656895946
208	0.2651700099
209	0.2648772995
210	0.2646342057
211	0.2643864373
212	0.2639528452
213	0.2637980337
214	0.2635484877
215	0.2633856089
216	0.2630947413
217	0.2627002667
218	0.2624895164
219	0.2621925696
220	0.2619553523
221	0.2616678696
222	0.2612067175
223	0.2608824782
224	0.2606174596
225	0.2605074388
226	0.2602392408
227	0.2600030496
228	0.2597910831
229	0.2596270851
230	0.259372634
231	0.2590874331
232	0.2589163517
233	0.2587604915
234	0.2585860107
235	0.2584685424
236	0.2583360658
237	0.2581143931
238	0.2579937198
239	0.2576276107
240	0.2573799367
241	0.2572061757
242	0.2570775616
243	0.2569977292
244	0.2567284708
245	0.2565885858
246	0.256335019
247	0.2560642949
248	0.2558776693
249	0.2555432877
250	0.2552691518
251	0.2552338078
252	0.2550561964
253	0.2549569594
254	0.2548673248
255	0.2546889864
256	0.2543298461
257	0.2542486132
258	0.2540758357
259	0.2537975518
260	0.2534367817
261	0.2532819098
262	0.2532445913
263	0.2529045145
264	0.2526916869
265	0.2526054295
266	0.2523835235
