iter	Passed	Remaining
0	18	36560
1	28	28223
2	40	27287
3	55	27667
4	67	27026
5	76	25368
6	85	24241
7	94	23449
8	102	22645
9	110	22040
10	125	22759
11	138	22910
12	146	22412
13	156	22177
14	167	22122
15	177	21986
16	189	22144
17	208	22963
18	226	23610
19	236	23427
20	246	23206
21	256	23074
22	265	22852
23	275	22664
24	285	22536
25	294	22346
26	304	22286
27	314	22157
28	325	22121
29	335	22043
30	345	21957
31	356	21907
32	366	21830
33	381	22082
34	392	22025
35	402	21959
36	412	21872
37	421	21779
38	432	21764
39	442	21689
40	453	21664
41	463	21629
42	478	21779
43	496	22080
44	513	22319
45	525	22334
46	537	22319
47	546	22224
48	557	22189
49	582	22700
50	601	22984
51	611	22925
52	626	23025
53	644	23214
54	661	23385
55	673	23375
56	682	23280
57	694	23257
58	705	23203
59	716	23179
60	728	23144
61	738	23083
62	750	23065
63	761	23021
64	775	23073
65	791	23190
66	801	23128
67	812	23096
68	825	23107
69	852	23497
70	871	23673
71	883	23660
72	894	23620
73	905	23567
74	916	23522
75	930	23546
76	949	23707
77	963	23752
78	983	23914
79	1004	24104
80	1014	24045
81	1025	23988
82	1035	23910
83	1052	24008
84	1070	24126
85	1085	24152
86	1096	24103
87	1106	24045
88	1116	23977
89	1127	23922
90	1137	23864
91	1148	23817
92	1159	23774
93	1170	23725
94	1180	23672
95	1190	23616
96	1204	23627
97	1213	23559
98	1225	23522
99	1235	23470
100	1256	23626
101	1270	23638
102	1281	23595
103	1290	23525
104	1300	23478
105	1310	23413
106	1321	23384
107	1337	23431
108	1348	23390
109	1359	23356
110	1368	23294
111	1380	23270
112	1391	23228
113	1403	23226
114	1416	23214
115	1427	23180
116	1442	23213
117	1452	23173
118	1463	23133
119	1474	23093
120	1484	23051
121	1497	23045
122	1509	23039
123	1528	23131
124	1545	23182
125	1556	23146
126	1568	23128
127	1579	23098
128	1595	23141
129	1610	23159
130	1620	23115
131	1631	23082
132	1641	23040
133	1652	23008
134	1662	22966
135	1673	22938
136	1684	22901
137	1694	22863
138	1711	22913
139	1727	22947
140	1741	22955
141	1753	22949
142	1770	22987
143	1784	22999
144	1798	23008
145	1814	23040
146	1824	22997
147	1834	22958
148	1847	22950
149	1864	22993
150	1879	23019
151	1892	23010
152	1903	22977
153	1913	22940
154	1924	22907
155	1938	22910
156	1951	22902
