iter	Passed	Remaining
0	10	21720
1	23	23953
2	34	22910
3	45	22538
4	52	20757
5	60	20154
6	70	20202
7	84	21037
8	95	21095
9	108	21635
10	118	21510
11	128	21369
12	136	20839
13	144	20452
14	152	20121
15	159	19771
16	167	19586
17	176	19438
18	184	19233
19	194	19298
20	205	19360
21	218	19600
22	233	20065
23	248	20459
24	257	20333
25	265	20137
26	274	20022
27	281	19829
28	290	19727
29	297	19566
30	306	19436
31	317	19531
32	326	19433
33	334	19336
34	342	19237
35	354	19344
36	363	19283
37	371	19169
38	381	19170
39	389	19064
40	400	19136
41	411	19176
42	426	19389
43	438	19479
44	447	19440
45	456	19376
46	466	19374
47	473	19273
48	482	19229
49	491	19182
50	501	19146
51	510	19125
52	519	19102
53	539	19446
54	554	19621
55	563	19547
56	571	19475
57	585	19608
58	602	19804
59	618	19982
60	628	19991
61	645	20167
62	659	20265
63	671	20316
64	690	20542
65	705	20666
66	715	20642
67	730	20742
68	743	20811
69	751	20722
70	761	20690
71	770	20631
72	779	20568
73	788	20513
74	797	20467
75	812	20565
76	823	20573
77	832	20514
78	841	20453
79	849	20394
80	863	20452
81	874	20450
82	885	20458
83	901	20558
84	915	20626
85	924	20580
86	934	20548
87	943	20497
88	955	20508
89	969	20566
90	978	20532
91	986	20464
92	998	20476
93	1007	20435
94	1016	20384
95	1025	20341
96	1035	20314
97	1047	20333
98	1057	20305
99	1065	20242
100	1074	20208
101	1083	20158
102	1092	20114
103	1100	20057
104	1109	20027
105	1119	20004
106	1130	20004
107	1139	19961
108	1147	19916
109	1157	19892
110	1166	19843
111	1183	19945
112	1195	19957
113	1210	20023
114	1227	20119
115	1238	20118
116	1248	20095
117	1257	20050
118	1266	20021
119	1280	20059
120	1293	20087
121	1307	20126
122	1318	20118
123	1333	20174
124	1349	20240
125	1359	20221
126	1371	20227
127	1382	20218
128	1391	20178
129	1398	20121
130	1412	20151
131	1423	20148
132	1438	20198
133	1451	20206
134	1459	20162
135	1468	20123
136	1477	20092
137	1485	20047
138	1495	20018
139	1509	20048
140	1520	20046
141	1529	20013
142	1538	19982
143	1546	19932
144	1558	19937
145	1567	19907
146	1576	19878
147	1585	19841
148	1595	19825
149	1609	19853
150	1618	19818
151	1630	19821
152	1645	19869
153	1658	19880
154	1670	19884
155	1679	19854
156	1687	19813
157	1697	19788
158	1705	19745
159	1715	19722
160	1724	19694
161	1735	19691
162	1749	19713
163	1763	19737
164	1774	19732
165	1786	19740
166	1797	19734
167	1808	19722
168	1817	19694
169	1826	19664
170	1835	19633
171	1845	19613
172	1857	19617
173	1872	19650
174	1884	19657
175	1899	19685
176	1915	19730
177	1925	19705
178	1938	19724
179	1951	19734
180	1959	19694
181	1970	19687
182	1985	19709
183	2000	19748
184	2013	19753
185	2026	19763
186	2039	19771
187	2051	19774
188	2065	19788
189	2078	19801
190	2086	19762
191	2095	19729
192	2103	19695
193	2114	19683
194	2127	19689
195	2138	19683
196	2151	19692
197	2163	19686
198	2175	19687
199	2186	19679
200	2197	19667
201	2207	19645
202	2221	19667
203	2240	19721
204	2251	19716
205	2267	19751
206	2278	19738
207	2290	19734
208	2306	19765
209	2315	19739
210	2328	19745
211	2340	19743
212	2354	19756
213	2366	19752
214	2375	19721
215	2384	19692
216	2393	19662
217	2402	19636
218	2411	19609
219	2426	19629
220	2435	19603
221	2443	19567
222	2451	19534
223	2464	19537
224	2478	19549
225	2492	19564
226	2501	19539
227	2510	19513
228	2519	19484
229	2527	19453
230	2536	19422
231	2547	19412
232	2556	19384
233	2569	19393
234	2580	19381
235	2592	19380
236	2601	19354
237	2621	19405
238	2629	19378
239	2640	19361
240	2649	19336
241	2658	19309
242	2666	19279
243	2676	19261
244	2688	19256
245	2697	19234
246	2706	19210
247	2715	19181
248	2724	19159
249	2740	19180
250	2754	19191
251	2762	19162
252	2770	19130
253	2779	19105
254	2789	19091
255	2798	19066
256	2806	19034
257	2815	19010
258	2829	19018
259	2840	19006
260	2853	19012
261	2866	19015
262	2874	18987
263	2883	18961
264	2892	18936
265	2901	18915
266	2916	18930
267	2935	18968
268	2943	18942
269	2952	18916
270	2969	18947
271	2982	18946
272	2991	18922
273	3012	18978
274	3030	19006
275	3042	19006
276	3055	19005
277	3066	18997
278	3075	18970
279	3085	18954
280	3094	18930
281	3102	18901
282	3115	18900
283	3127	18894
284	3140	18896
285	3148	18869
286	3164	18890
287	3178	18893
288	3192	18902
289	3200	18873
290	3214	18876
291	3226	18871
292	3235	18850
293	3244	18824
294	3254	18807
295	3268	18816
296	3279	18807
297	3291	18800
298	3306	18812
299	3321	18822
300	3330	18800
301	3339	18776
302	3348	18751
303	3357	18733
304	3366	18710
305	3379	18711
306	3391	18700
307	3406	18713
308	3416	18699
309	3432	18710
310	3440	18687
311	3450	18666
312	3459	18643
313	3468	18623
314	3477	18603
315	3496	18630
316	3506	18616
317	3516	18599
318	3524	18572
319	3533	18549
320	3541	18525
321	3550	18500
322	3559	18481
323	3569	18463
324	3580	18454
325	3590	18434
326	3597	18406
327	3607	18388
328	3618	18377
329	3630	18373
330	3641	18359
331	3653	18355
332	3670	18372
333	3681	18364
334	3695	18365
335	3706	18355
336	3717	18346
337	3727	18329
338	3742	18338
339	3754	18330
340	3770	18341
341	3781	18331
342	3790	18312
343	3803	18310
344	3816	18307
345	3826	18291
346	3834	18266
347	3844	18249
348	3852	18225
349	3860	18201
350	3869	18179
351	3878	18156
352	3889	18146
353	3905	18157
354	3919	18163
355	3927	18136
356	3940	18136
357	3950	18118
358	3958	18096
359	3971	18091
360	3984	18091
361	3998	18093
362	4011	18090
363	4026	18095
364	4038	18088
365	4047	18068
366	4060	18069
367	4070	18051
368	4080	18034
369	4088	18013
370	4097	17992
371	4108	17978
372	4120	17974
373	4130	17957
374	4139	17939
375	4148	17916
376	4158	17901
377	4172	17903
378	4189	17917
379	4213	17961
380	4244	18035
381	4258	18039
382	4274	18046
383	4287	18042
384	4299	18034
385	4311	18027
386	4329	18044
387	4342	18042
388	4359	18055
389	4372	18051
390	4386	18049
391	4395	18031
392	4405	18015
393	4414	17995
