iter	RMSE
0	2.69722657
1	2.57394921
2	2.458558405
3	2.350208455
4	2.244185046
5	2.144865709
6	2.050508216
7	1.960238249
8	1.875409859
9	1.797774284
10	1.721068311
11	1.646265528
12	1.57613845
13	1.511722716
14	1.449261037
15	1.39156955
16	1.333343795
17	1.279846052
18	1.226948182
19	1.178107761
20	1.131425501
21	1.088051887
22	1.046607908
23	1.007914982
24	0.9701994243
25	0.9350778572
26	0.9012435158
27	0.8683639108
28	0.8382301553
29	0.8093564818
30	0.7822940707
31	0.7560962093
32	0.7311527831
33	0.7080825365
34	0.6863808898
35	0.6655490046
36	0.6455970932
37	0.6278818328
38	0.6107273739
39	0.5945182952
40	0.5789663811
41	0.5646760665
42	0.5513292805
43	0.5390167682
44	0.5268721369
45	0.5154359182
46	0.5052354651
47	0.4947864031
48	0.4848952568
49	0.4762170558
50	0.4676259238
51	0.4596999676
52	0.4520648733
53	0.4449320542
54	0.4382844909
55	0.4315557674
56	0.4253650984
57	0.4197660055
58	0.414182001
59	0.4097400822
60	0.4046767296
61	0.3999001432
62	0.3954415369
63	0.3917392511
64	0.3880151959
65	0.3842368189
66	0.3806183633
67	0.3775276746
68	0.3746119911
69	0.3718464848
70	0.3688727303
71	0.3659244948
72	0.3635525669
73	0.3602264718
74	0.3579758585
75	0.3557814188
76	0.3532920769
77	0.3514401464
78	0.3496970755
79	0.3476206481
80	0.3457472658
81	0.3437845725
82	0.3415722905
83	0.3400540693
84	0.3382113451
85	0.3368928941
86	0.335674123
87	0.3342621892
88	0.3329501783
89	0.3309623231
90	0.3297337757
91	0.3286194507
92	0.3271995869
93	0.3262927157
94	0.3251262807
95	0.3239841465
96	0.3228835571
97	0.3220021466
98	0.3211757732
99	0.3200359292
100	0.3191413013
101	0.318227682
102	0.3175983062
103	0.316908084
104	0.3161488525
105	0.3155408113
106	0.3145293505
107	0.3138874115
108	0.3132884722
109	0.3126206518
110	0.3116829747
111	0.3106536251
112	0.3099635892
113	0.3092134926
114	0.3087207467
115	0.3080180039
116	0.3073572353
117	0.3064026384
118	0.3056386795
119	0.3049289831
120	0.3044099728
121	0.3039493255
122	0.3031064039
123	0.3026497701
124	0.3021650956
125	0.3017486228
126	0.3012785488
127	0.3009446841
128	0.3004539039
129	0.3000233099
130	0.2996856271
131	0.2992362056
132	0.2987048133
133	0.2983370274
134	0.2980553718
135	0.297556934
136	0.2972860072
137	0.2968269656
138	0.2964700572
139	0.2960841571
140	0.2957949391
141	0.2954367888
142	0.2948840124
143	0.294623048
144	0.2942936509
145	0.2941030793
146	0.2937367836
147	0.2933752715
148	0.293131357
149	0.2927132307
150	0.2921666008
151	0.291533306
152	0.2909523179
153	0.290486072
154	0.2901524955
155	0.289714314
156	0.289263066
157	0.2890457483
158	0.2888254889
159	0.2885266926
160	0.2880798217
161	0.2877609542
162	0.2873648073
163	0.2869763076
164	0.2868431117
165	0.286733788
166	0.2864730932
167	0.2860063658
168	0.2858713439
169	0.2855945024
170	0.2852293468
171	0.2848708202
172	0.2842178668
173	0.2839724627
174	0.2838036353
175	0.2836167728
176	0.2832079324
177	0.2830478587
178	0.2826748237
179	0.2825417379
180	0.2822114171
181	0.2820986837
182	0.2818842663
183	0.2817083768
184	0.2814001404
185	0.2811901711
186	0.2810216306
187	0.2808596209
188	0.2804436616
189	0.2799987996
190	0.2797889831
191	0.2796729285
192	0.2793155821
193	0.2790247514
194	0.2787623397
195	0.2785208285
196	0.2784379051
197	0.2782026055
198	0.2779012175
199	0.2777786543
200	0.2774375179
201	0.2772223533
202	0.2769857726
203	0.2769131814
204	0.2766620279
205	0.2765216747
206	0.276210188
207	0.2759475951
208	0.275403231
209	0.2752273309
210	0.2749839141
211	0.274683495
212	0.274430727
213	0.2742943914
214	0.2739643406
215	0.2737832443
216	0.2734600677
217	0.2733269426
218	0.2730784466
219	0.2728889505
220	0.2722368107
221	0.2720811814
222	0.2720110494
223	0.2718041047
224	0.2716109041
225	0.271120984
226	0.2710006231
227	0.2707226493
228	0.270465444
229	0.2703494393
230	0.2698729504
231	0.269784571
232	0.2696793865
233	0.2693564276
234	0.2692739646
235	0.2690697543
236	0.269016348
237	0.2689784756
238	0.2688734129
239	0.2685834743
240	0.2682804527
241	0.2682139923
242	0.2681495964
243	0.2678067438
244	0.2674738483
245	0.2674056404
246	0.2673687035
247	0.2671669008
248	0.2670830279
249	0.267036405
250	0.2670157115
251	0.2668419971
252	0.2666142075
253	0.2662418444
254	0.2661670504
255	0.2659016508
256	0.2657891452
