iter	Passed	Remaining
0	14	29972
1	30	30058
2	41	27524
3	52	26062
4	61	24399
5	76	25426
6	85	24449
7	111	27657
8	121	26901
9	130	25901
10	141	25632
11	152	25195
12	163	25043
13	171	24340
14	178	23642
15	185	22953
16	192	22450
17	200	22094
18	209	21889
19	220	21847
20	228	21568
21	236	21233
22	245	21135
23	255	21015
24	262	20744
25	269	20427
26	276	20219
27	285	20102
28	296	20178
29	304	19991
30	311	19783
31	319	19631
32	326	19456
33	333	19300
34	340	19120
35	357	19486
36	371	19687
37	382	19738
38	390	19648
39	397	19481
40	405	19392
41	413	19280
42	421	19162
43	434	19307
44	447	19443
45	455	19345
46	463	19262
47	470	19124
48	478	19036
49	485	18939
50	493	18844
51	500	18758
52	510	18738
53	523	18877
54	539	19079
55	549	19080
56	562	19171
57	577	19334
58	588	19347
59	598	19352
60	611	19433
61	621	19431
62	634	19509
63	642	19437
64	654	19490
65	664	19462
66	672	19393
67	686	19491
68	698	19559
69	705	19462
70	716	19474
71	732	19622
72	750	19814
73	758	19747
74	766	19675
75	774	19615
76	786	19648
77	798	19684
78	811	19723
79	823	19756
80	838	19866
81	846	19791
82	853	19720
83	862	19672
84	871	19633
85	885	19715
86	902	19854
87	915	19901
88	925	19868
89	942	20006
90	952	19990
91	963	19987
92	976	20021
93	985	19984
94	997	19994
95	1007	19984
96	1020	20012
97	1032	20033
98	1045	20082
99	1052	20001
100	1060	19946
101	1079	20086
102	1091	20095
103	1098	20017
104	1106	19964
105	1113	19900
106	1121	19846
107	1129	19785
108	1136	19717
109	1149	19749
110	1157	19697
111	1165	19650
112	1173	19591
113	1180	19538
114	1192	19539
115	1200	19500
116	1215	19569
117	1223	19514
118	1232	19483
119	1240	19437
120	1249	19396
121	1261	19422
122	1273	19431
123	1281	19390
124	1288	19334
125	1304	19394
126	1316	19413
127	1332	19480
128	1346	19525
129	1353	19466
130	1361	19428
131	1373	19432
132	1381	19386
133	1390	19357
134	1398	19318
135	1407	19288
136	1414	19238
137	1421	19181
138	1430	19147
139	1437	19101
140	1449	19108
141	1464	19162
142	1477	19186
143	1488	19181
144	1501	19212
145	1512	19204
146	1527	19253
147	1536	19226
148	1546	19210
149	1558	19216
150	1566	19182
151	1577	19178
152	1587	19166
153	1600	19183
154	1610	19167
155	1620	19152
156	1634	19182
157	1643	19154
158	1649	19104
159	1658	19070
160	1666	19035
161	1676	19020
162	1687	19017
163	1698	19017
164	1706	18980
165	1725	19058
166	1735	19054
167	1745	19038
168	1753	19003
169	1765	19004
170	1773	18968
171	1781	18934
172	1789	18897
173	1797	18859
174	1803	18808
175	1811	18768
176	1819	18740
177	1826	18693
178	1836	18684
179	1846	18675
180	1853	18630
181	1861	18593
182	1868	18557
183	1876	18522
184	1894	18583
185	1912	18652
186	1922	18643
187	1934	18645
188	1947	18661
189	1962	18695
190	1974	18696
191	1986	18703
192	1998	18710
193	2006	18679
194	2014	18650
195	2022	18614
196	2030	18584
197	2038	18552
198	2046	18522
199	2058	18528
200	2068	18510
201	2075	18476
202	2084	18453
203	2092	18420
204	2105	18436
205	2113	18407
206	2121	18373
207	2128	18338
208	2136	18312
209	2144	18276
210	2153	18259
211	2164	18256
212	2177	18267
213	2187	18258
214	2199	18257
215	2211	18267
216	2221	18255
217	2233	18260
218	2245	18263
219	2255	18249
220	2269	18267
221	2279	18253
222	2286	18217
223	2297	18212
224	2308	18211
225	2318	18195
226	2327	18183
227	2336	18158
228	2349	18167
229	2358	18153
230	2373	18173
231	2385	18178
232	2397	18182
233	2413	18217
234	2429	18250
235	2438	18223
236	2447	18207
237	2457	18192
238	2469	18195
239	2479	18179
240	2490	18175
241	2501	18173
242	2508	18140
243	2516	18112
244	2524	18080
245	2536	18085
246	2544	18057
247	2551	18025
248	2559	17998
249	2567	17970
250	2577	17959
251	2585	17934
252	2592	17901
253	2600	17873
254	2607	17845
255	2615	17818
256	2621	17781
257	2636	17798
258	2647	17794
259	2654	17765
260	2671	17798
261	2684	17809
262	2698	17824
263	2711	17828
264	2720	17812
265	2729	17790
266	2741	17790
267	2748	17763
268	2756	17738
269	2764	17712
270	2776	17715
271	2784	17688
272	2791	17659
273	2800	17638
274	2807	17612
275	2815	17588
276	2823	17564
277	2839	17590
278	2848	17573
279	2860	17574
280	2871	17566
281	2879	17544
282	2888	17526
283	2896	17503
284	2904	17477
285	2911	17446
286	2919	17423
287	2928	17408
288	2944	17432
289	2959	17451
290	2971	17452
291	2984	17456
292	2992	17436
293	3000	17410
294	3007	17384
295	3015	17358
296	3022	17331
297	3032	17322
298	3044	17319
299	3052	17296
300	3059	17271
301	3067	17246
302	3074	17218
303	3083	17202
304	3093	17190
305	3105	17192
306	3114	17177
307	3124	17162
308	3141	17191
309	3150	17176
310	3161	17169
311	3175	17180
312	3187	17179
313	3194	17151
314	3202	17131
315	3210	17106
316	3217	17080
317	3231	17094
318	3238	17067
319	3246	17046
320	3254	17024
321	3263	17006
322	3273	16995
323	3281	16975
324	3289	16955
325	3297	16931
326	3304	16906
327	3319	16923
328	3329	16910
329	3340	16906
330	3355	16919
331	3367	16920
332	3387	16958
333	3404	16981
334	3418	16988
335	3436	17018
336	3451	17032
337	3458	17007
338	3467	16991
339	3474	16965
340	3482	16945
341	3490	16921
342	3504	16930
343	3513	16912
344	3525	16910
345	3534	16897
346	3542	16876
347	3556	16882
348	3563	16858
349	3571	16836
350	3583	16834
351	3593	16822
352	3601	16802
353	3608	16780
354	3622	16783
355	3629	16758
356	3636	16738
357	3644	16715
358	3651	16690
359	3659	16672
360	3666	16646
361	3676	16635
362	3684	16616
363	3700	16631
364	3711	16624
365	3723	16622
366	3731	16604
367	3738	16580
368	3746	16560
369	3760	16568
370	3769	16550
371	3776	16529
372	3785	16510
373	3795	16502
374	3808	16503
375	3816	16483
376	3824	16466
377	3832	16446
378	3842	16436
379	3850	16416
380	3863	16416
381	3875	16414
382	3891	16427
383	3902	16425
384	3915	16425
385	3927	16422
386	3938	16414
387	3952	16422
388	3969	16439
389	3982	16438
390	4000	16464
391	4014	16466
392	4025	16460
393	4040	16471
394	4048	16449
395	4059	16441
396	4066	16421
397	4074	16401
398	4082	16382
399	4092	16368
400	4104	16367
401	4116	16363
402	4123	16339
403	4131	16322
404	4139	16303
405	4147	16281
406	4155	16263
407	4162	16242
408	4177	16251
409	4185	16233
410	4193	16211
411	4200	16191
412	4208	16171
413	4221	16171
414	4229	16152
415	4236	16133
416	4244	16113
417	4252	16095
418	4268	16107
419	4279	16099
420	4288	16085
421	4300	16082
422	4312	16076
423	4326	16080
424	4340	16083
425	4350	16075
426	4358	16057
427	4366	16038
428	4374	16020
429	4382	16001
430	4390	15984
431	4398	15964
432	4411	15964
433	4419	15948
434	4433	15951
435	4449	15961
