Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,031199,2000,05,04,,,
IDCJAC0009,031199,2000,05,05,,,
IDCJAC0009,031199,2000,05,06,,,
IDCJAC0009,031199,2000,05,07,,,
IDCJAC0009,031199,2000,05,08,,,
IDCJAC0009,031199,2000,05,09,,,
IDCJAC0009,031199,2000,05,10,,,
IDCJAC0009,031199,2000,05,11,,,
IDCJAC0009,031199,2000,05,12,,,
IDCJAC0009,031199,2000,05,13,,,
IDCJAC0009,031199,2000,05,14,,,
IDCJAC0009,031199,2000,05,15,,,
IDCJAC0009,031199,2000,05,16,,,
IDCJAC0009,031199,2000,05,17,,,
IDCJAC0009,031199,2000,05,18,,,
IDCJAC0009,031199,2000,05,19,,,
IDCJAC0009,031199,2000,05,20,,,
IDCJAC0009,031199,2000,05,21,,,
IDCJAC0009,031199,2000,05,22,,,
IDCJAC0009,031199,2000,05,23,,,
IDCJAC0009,031199,2000,05,24,,,
IDCJAC0009,031199,2000,05,25,,,
IDCJAC0009,031199,2000,05,26,,,
IDCJAC0009,031199,2000,05,27,,,
IDCJAC0009,031199,2000,05,28,,,
IDCJAC0009,031199,2000,05,29,,,
IDCJAC0009,031199,2000,05,30,,,
IDCJAC0009,031199,2000,05,31,,,
IDCJAC0009,031199,2000,06,01,,,
IDCJAC0009,031199,2000,06,02,,,
IDCJAC0009,031199,2000,06,03,,,
IDCJAC0009,031199,2000,06,04,,,
IDCJAC0009,031199,2000,06,05,,,
IDCJAC0009,031199,2000,06,06,,,
IDCJAC0009,031199,2000,06,07,,,
IDCJAC0009,031199,2000,06,08,,,
IDCJAC0009,031199,2000,06,09,,,
IDCJAC0009,031199,2000,06,10,,,
IDCJAC0009,031199,2000,06,11,,,
IDCJAC0009,031199,2000,06,12,,,
IDCJAC0009,031199,2000,06,13,,,
IDCJAC0009,031199,2000,06,14,,,
IDCJAC0009,031199,2000,06,15,,,
IDCJAC0009,031199,2000,06,16,,,
IDCJAC0009,031199,2000,06,17,,,
IDCJAC0009,031199,2000,06,18,,,
IDCJAC0009,031199,2000,06,19,,,
IDCJAC0009,031199,2000,06,20,,,
IDCJAC0009,031199,2000,06,21,,,
IDCJAC0009,031199,2000,06,22,,,
IDCJAC0009,031199,2000,06,23,,,
IDCJAC0009,031199,2000,06,24,,,
IDCJAC0009,031199,2000,06,25,,,
IDCJAC0009,031199,2000,06,26,,,
IDCJAC0009,031199,2000,06,27,,,
IDCJAC0009,031199,2000,06,28,,,
IDCJAC0009,031199,2000,06,29,,,
