iter	RMSE
0	2.696212689
1	2.570779995
2	2.452998114
3	2.339754315
4	2.233142931
5	2.131800849
6	2.034943072
7	1.94278689
8	1.856550672
9	1.775900701
10	1.697605678
11	1.622709787
12	1.551771476
13	1.485450802
14	1.42203909
15	1.362838829
16	1.305143035
17	1.25073284
18	1.198676254
19	1.149960587
20	1.103618484
21	1.059238959
22	1.017893349
23	0.978591377
24	0.9401642895
25	0.9046246038
26	0.870368504
27	0.8377279167
28	0.807122584
29	0.7790125116
30	0.752239706
31	0.7265229566
32	0.7020560824
33	0.6787535724
34	0.6579747916
35	0.637549704
36	0.6181126596
37	0.6000166712
38	0.583376678
39	0.5673311988
40	0.552914638
41	0.5384785985
42	0.5255913937
43	0.5131814937
44	0.5012622902
45	0.4899020784
46	0.4793651484
47	0.4686635518
48	0.4593611345
49	0.4509342109
50	0.4421865595
51	0.4341806899
52	0.4271517748
53	0.4205162168
54	0.413773676
55	0.4077984388
56	0.4018727755
57	0.3967043541
58	0.3912652356
59	0.3870085866
60	0.3824237338
61	0.3781071226
62	0.37372959
63	0.3702292179
64	0.3666735778
65	0.3634154081
66	0.3599007733
67	0.3570616389
68	0.3545054717
69	0.3519336051
70	0.3496891781
71	0.3473875092
72	0.3451190253
73	0.342582583
74	0.3405503131
75	0.3386892678
76	0.3362797041
77	0.3346697029
78	0.3326212991
79	0.330996576
80	0.3294678175
81	0.327879844
82	0.3264684382
83	0.3253051532
84	0.3236057366
85	0.3222261062
86	0.3209150413
87	0.3197442398
88	0.3186939111
89	0.3173772929
90	0.3163531585
91	0.3153055396
92	0.3144236162
93	0.3136193879
94	0.312750438
95	0.3117107448
96	0.3110321249
97	0.3102125043
98	0.3097105177
99	0.3088428343
100	0.3081068997
101	0.3072681582
102	0.3065359305
103	0.305938972
104	0.3054262948
105	0.3047895309
106	0.3040548939
107	0.3034194383
108	0.3028272626
109	0.3021946221
110	0.3015673211
111	0.300843379
112	0.3004037957
113	0.2997107617
114	0.2993755361
115	0.2988933109
116	0.2984646622
117	0.2978059961
