"depth","learning_rate","l2_leaf_reg","rsm","best_iter","best_rmse","train_rmse","test_rmse","rmse_gap_ratio","flag"
8,0.01,30,0.9,1000,0.29530842546984,0.271921449911235,0.29530842546984,0.0860063653170426,"OK"
4,0.02,10,0.9,1000,0.295594890998295,0.272813382663738,0.295594890998295,0.0835058313933101,"OK"
8,0.01,30,0.8,1000,0.295708746318543,0.272510078581023,0.295708746318543,0.0851295770722181,"OK"
4,0.02,10,0.8,1000,0.296217432952547,0.273931459459095,0.296217432952547,0.0813560207267087,"OK"
6,0.01,10,1,1000,0.29651342201614,0.274892190884859,0.29651342201614,0.0786534934356765,"OK"
4,0.02,10,1,1000,0.296516129971052,0.273813663257879,0.296516129971052,0.0829121032276317,"OK"
6,0.01,10,0.9,1000,0.297706455346359,0.276000280251185,0.297706455346359,0.0786454820821907,"OK"
6,0.01,10,0.8,1000,0.298616560648739,0.276950576106375,0.298616560648739,0.0782305090206519,"OK"
4,0.02,30,0.9,1000,0.301038204077272,0.280192280662627,0.301038204077272,0.0743986356988395,"OK"
4,0.02,30,1,1000,0.301895288346131,0.280747974083363,0.301895288346131,0.075324904237737,"OK"
4,0.02,30,0.8,1000,0.302055916913308,0.281613076865881,0.302055916913308,0.0725919416631439,"OK"
6,0.01,30,1,1000,0.305500201426311,0.286138887266191,0.305500201426311,0.0676640436576126,"OK"
6,0.01,30,0.9,1000,0.306616921696441,0.287365717224012,0.306616921696441,0.0669920011976279,"OK"
6,0.01,30,0.8,1000,0.307848761080631,0.288610213875446,0.307848761080631,0.066659273581662,"OK"
4,0.01,3,0.9,1000,0.323289899705571,0.305687888820356,0.323289899705571,0.0575816430056861,"OK"
4,0.01,3,1,1000,0.323295863856894,0.305434517247611,0.323295863856894,0.0584784809858388,"OK"
4,0.01,3,0.8,1000,0.32347376994158,0.305743465700304,0.32347376994158,0.0579907871478644,"OK"
4,0.01,10,1,1000,0.325895382461212,0.308602819520506,0.325895382461212,0.056035012795977,"OK"
4,0.01,10,0.8,1000,0.325920227023233,0.308961022668267,0.325920227023233,0.0548910804621965,"OK"
4,0.01,10,0.9,1000,0.326025315370123,0.309034691647194,0.326025315370123,0.054979664685435,"OK"
4,0.01,30,1,1000,0.330685096452178,0.314459390555313,0.330685096452178,0.0515987322503289,"OK"
4,0.01,30,0.8,1000,0.331320410296211,0.315242134531347,0.331320410296211,0.0510029402914914,"OK"
4,0.01,30,0.9,1000,0.331393221560989,0.315425694211164,0.331393221560989,0.0506221517234274,"OK"
